error,raw_response,cleaned_response
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""557""
    },
    {
      ""site_id"": ""S1"",
      ""parameter_id"": ""P23"",
      ""time_period"": ""2013"",
      ""raw_value"": 388.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""mg/l"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""388""
    },
    {
      ""site_id"": ""S1"",
      ""parameter_id"": ""P24"",
      ""time_period"": ""2013"",
      ""raw_value"": 240.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""mV"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""240.0""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P1"",
      ""time_period"": ""2013"",
      ""raw_value"": 38.4,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""38.4""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P2"",
      ""time_period"": ""2013"",
      ""raw_value"": 13.2,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""13.2""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P3"",
      ""time_period"": ""2013"",
      ""raw_value"": 38.6,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""38.6""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P4"",
      ""time_period"": ""2013"",
      ""raw_value"": 32.4,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""32.4""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P5"",
      ""time_period"": ""2013"",
      ""raw_value"": 2.9,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""2.9""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P6"",
      ""time_period"": ""2013"",
      ""raw_value"": 564.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""564""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P7"",
      ""time_period"": ""2013"",
      ""raw_value"": 121.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""121""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P8"",
      ""time_period"": ""2013"",
      ""raw_value"": 80.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""80""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P9"",
      ""time_period"": ""2013"",
      ""raw_value"": 25.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""25""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P10"",
      ""time_period"": ""2013"",
      ""raw_value"": 37.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""37""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P11"",
      ""time_period"": ""2013"",
      ""raw_value"": 306.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""306""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P12"",
      ""time_period"": ""2013"",
      ""raw_value"": 242.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""242""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P13"",
      ""time_period"": ""2013"",
      ""raw_value"": 168.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""168""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P14"",
      ""time_period"": ""2013"",
      ""raw_value"": 212.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppb"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""212""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P15"",
      ""time_period"": ""2013"",
      ""raw_value"": 308.0,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""308""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P16"",
      ""time_period"": ""2013"",
      ""raw_value"": 57.4,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""57.4""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P17"",
      ""time_period"": ""2013"",
      ""raw_value"": 2.9,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""2.9""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P18"",
      ""time_period"": ""2013"",
      ""raw_value"": 30.3,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""30.3""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P19"",
      ""time_period"": ""2013"",
      ""raw_value"": 186.4,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
      ""unit"": ""ppm"",
      ""original_source_citation"": ""Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124."",
      ""source_location"": ""Table 1, Page 9"",
      ""source_quote"": ""186.4""
    },
    {
      ""site_id"": ""S2"",
      ""parameter_id"": ""P20"",
      ""time_period"": ""2013"",
      ""raw_value"": 0.2,
      ""mean_value"": null,
      ""std_dev"": null,
      ""min_value"": null,
      ""max_value"": null,
      ""n_observations"": null,
      ""aggregation_level"": null,
      ""limit_qualifier"": null,
      ""detection_limit"": null,
