Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Yamuna river,,,,,Caffeine (Maximum concentration),6489.9 ± 0.8,6489.9,0.8,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
2,Yamuna river,,,,,Caffeine (Minimum concentration),74.8 ± 1.2,74.8,1.2,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
3,Yamuna river,,,,,Caffeine (Mean concentration),707.9,707.9,,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
4,Yamuna river,,,,,Naproxen (Maximum concentration),1576.3 ± 1.9,1576.3,1.9,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
5,Yamuna river,,,,,Naproxen (Minimum concentration),nd,,,ng/L,"Table 3, page 5",nd denotes not detected. Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
6,Yamuna river,,,,,Naproxen (Mean concentration),340.8,340.8,,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
7,Yamuna river,,,,,Enrofloxacin (Maximum concentration),59.8 ± 2.8,59.8,2.8,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
8,Yamuna river,,,,,Enrofloxacin (Minimum concentration),nd,,,ng/L,"Table 3, page 5",nd denotes not detected. Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
9,Yamuna river,,,,,Enrofloxacin (Mean concentration),40.2,40.2,,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
10,Yamuna river,,,,,Gemfibrozil (Maximum concentration),2990.4 ± 49.9,2990.4,49.9,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
11,Yamuna river,,,,,Gemfibrozil (Minimum concentration),48.2 ± 3.3,48.2,3.3,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
12,Yamuna river,,,,,Gemfibrozil (Mean concentration),792.4,792.4,,ng/L,"Table 3, page 5",Summary statistic across all 13 sampling locations and both summer and post-monsoon seasons. | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
